8/7/2023,1,2:53,1379,23 mins,18.9 mi
8/7/2023,1,2:58,1388,23 mins,18.9 mi
8/7/2023,1,3:03,1374,23 mins,18.9 mi
8/7/2023,1,3:09,1371,23 mins,18.9 mi
8/7/2023,1,3:14,1402,23 mins,18.9 mi
8/7/2023,1,3:19,1386,23 mins,18.9 mi
8/7/2023,1,3:24,1396,23 mins,18.9 mi
8/7/2023,1,3:29,1391,23 mins,18.9 mi
8/7/2023,1,3:34,1387,23 mins,18.9 mi
8/7/2023,1,3:39,1371,23 mins,18.9 mi
8/7/2023,1,3:44,1371,23 mins,18.9 mi
8/7/2023,1,3:49,1374,23 mins,18.9 mi
8/7/2023,1,3:54,1374,23 mins,18.9 mi
8/7/2023,1,3:59,1369,23 mins,18.9 mi
8/7/2023,1,4:04,1380,23 mins,18.9 mi
8/7/2023,1,4:09,1322,22 mins,17.8 mi
8/7/2023,1,4:14,1316,22 mins,17.8 mi
8/7/2023,1,4:19,1325,22 mins,17.8 mi
8/7/2023,1,4:24,1311,22 mins,17.8 mi
8/7/2023,1,4:29,1311,22 mins,17.8 mi
8/7/2023,1,4:34,1312,22 mins,17.8 mi
8/7/2023,1,4:39,1311,22 mins,17.8 mi
8/7/2023,1,4:44,1370,23 mins,18.9 mi
8/7/2023,1,4:49,1370,23 mins,18.9 mi
8/7/2023,1,4:54,1363,23 mins,18.9 mi
8/7/2023,1,4:59,1365,23 mins,18.9 mi
8/7/2023,1,5:04,1486,25 mins,22.4 mi
8/7/2023,1,5:09,1391,23 mins,18.9 mi
8/7/2023,1,5:14,1386,23 mins,18.9 mi
8/7/2023,1,5:19,1367,23 mins,18.9 mi
8/7/2023,1,5:24,1352,23 mins,19.2 mi
8/7/2023,1,5:29,1354,23 mins,19.2 mi
8/7/2023,1,5:34,1291,22 mins,19.2 mi
8/7/2023,1,5:39,1264,21 mins,19.2 mi
8/7/2023,1,5:44,1258,21 mins,19.2 mi
8/7/2023,1,5:49,1264,21 mins,19.2 mi
8/7/2023,1,5:54,1268,21 mins,19.2 mi
8/7/2023,1,5:59,1270,21 mins,19.2 mi
8/7/2023,1,6:04,1268,21 mins,19.2 mi
8/7/2023,1,6:09,1273,21 mins,19.2 mi
8/7/2023,1,6:14,1269,21 mins,19.2 mi
8/7/2023,1,6:19,1279,21 mins,19.2 mi
8/7/2023,1,6:24,1284,21 mins,19.2 mi
8/7/2023,1,6:29,1292,22 mins,19.2 mi
8/7/2023,1,6:34,1299,22 mins,19.2 mi
8/7/2023,1,6:39,1307,22 mins,19.2 mi
8/7/2023,1,6:44,1324,22 mins,19.2 mi
8/7/2023,1,6:49,1337,22 mins,19.2 mi
8/7/2023,1,6:54,1365,23 mins,19.2 mi
8/7/2023,1,6:59,1395,23 mins,19.2 mi
8/7/2023,1,7:04,1404,23 mins,19.2 mi
8/7/2023,1,7:09,1433,24 mins,19.2 mi
8/7/2023,1,7:14,1527,25 mins,19.2 mi
8/7/2023,1,7:19,1543,26 mins,19.2 mi
8/7/2023,1,7:24,1602,27 mins,19.2 mi
8/7/2023,1,7:29,1658,28 mins,19.2 mi
8/7/2023,1,7:34,1620,27 mins,19.2 mi
8/7/2023,1,7:39,1646,27 mins,19.2 mi
8/7/2023,1,7:44,1668,28 mins,19.2 mi
8/7/2023,1,7:49,1657,28 mins,19.2 mi
8/7/2023,1,7:54,1677,28 mins,19.2 mi
8/7/2023,1,7:59,1680,28 mins,19.2 mi
8/7/2023,1,8:04,1618,27 mins,19.2 mi
8/7/2023,1,8:09,1659,28 mins,19.2 mi
8/7/2023,1,8:14,1765,29 mins,19.2 mi
8/7/2023,1,8:19,1834,31 mins,19.2 mi
8/7/2023,1,8:24,1865,31 mins,19.2 mi
8/7/2023,1,8:29,1910,32 mins,22.4 mi
8/7/2023,1,8:34,1880,31 mins,22.4 mi
8/7/2023,1,8:39,1898,32 mins,22.4 mi
8/7/2023,1,8:44,2030,34 mins,19.2 mi
8/7/2023,1,8:49,1995,33 mins,19.2 mi
8/7/2023,1,8:54,1861,31 mins,22.4 mi
8/7/2023,1,8:59,1860,31 mins,22.4 mi
8/7/2023,1,9:04,1926,32 mins,19.2 mi
8/7/2023,1,9:09,1909,32 mins,19.2 mi
8/7/2023,1,9:14,1943,32 mins,19.2 mi
8/7/2023,1,9:19,1958,33 mins,19.2 mi
8/7/2023,1,9:24,1992,33 mins,19.2 mi
8/7/2023,1,9:29,1946,32 mins,19.2 mi
8/7/2023,1,9:34,1888,31 mins,19.2 mi
8/7/2023,1,9:39,1807,30 mins,22.3 mi
8/7/2023,1,9:44,1782,30 mins,22.3 mi
8/7/2023,1,9:49,1815,30 mins,22.3 mi
8/7/2023,1,9:54,1836,31 mins,19.2 mi
8/7/2023,1,9:59,1793,30 mins,19.2 mi
8/7/2023,1,10:04,1767,29 mins,19.2 mi
8/7/2023,1,10:09,1737,29 mins,19.2 mi
8/7/2023,1,10:14,1666,28 mins,19.2 mi
8/7/2023,1,10:19,1668,28 mins,19.2 mi
8/7/2023,1,10:24,1652,28 mins,19.2 mi
8/7/2023,1,10:29,1630,27 mins,19.2 mi
8/7/2023,1,10:34,1571,26 mins,19.2 mi
8/7/2023,1,10:39,1589,26 mins,19.2 mi
8/7/2023,1,10:44,1538,26 mins,19.2 mi
8/7/2023,1,10:49,1536,26 mins,19.2 mi
8/7/2023,1,10:54,1546,26 mins,19.2 mi
8/7/2023,1,10:59,1542,26 mins,19.2 mi
8/7/2023,1,11:04,1545,26 mins,19.2 mi
8/7/2023,1,11:09,1535,26 mins,19.2 mi
8/7/2023,1,11:14,1527,25 mins,19.2 mi
8/7/2023,1,11:19,1600,27 mins,19.2 mi
8/7/2023,1,11:24,1569,26 mins,19.2 mi
8/7/2023,1,11:29,1558,26 mins,19.2 mi
8/7/2023,1,11:34,1552,26 mins,19.2 mi
8/7/2023,1,11:39,1538,26 mins,19.2 mi
8/7/2023,1,11:44,1545,26 mins,19.2 mi
8/7/2023,1,11:49,1546,26 mins,19.2 mi
8/7/2023,1,11:54,1563,26 mins,19.2 mi
8/7/2023,1,11:59,1571,26 mins,19.2 mi
8/7/2023,1,12:04,1553,26 mins,19.2 mi
8/7/2023,1,12:09,1545,26 mins,19.2 mi
8/7/2023,1,12:14,1575,26 mins,19.2 mi
8/7/2023,1,12:19,1583,26 mins,19.2 mi
8/7/2023,1,12:24,1557,26 mins,19.2 mi
8/7/2023,1,12:29,1586,26 mins,19.2 mi
8/7/2023,1,12:34,1591,27 mins,19.2 mi
8/7/2023,1,12:39,1603,27 mins,19.2 mi
8/7/2023,1,12:44,1611,27 mins,19.2 mi
8/7/2023,1,12:49,1646,27 mins,19.2 mi
8/7/2023,1,12:54,1661,28 mins,19.2 mi
8/7/2023,1,12:59,1669,28 mins,19.2 mi
8/7/2023,1,13:05,1395,23 mins,18.1 mi
8/7/2023,1,13:10,1462,24 mins,18.1 mi
8/7/2023,1,13:15,1436,24 mins,18.1 mi
8/7/2023,1,13:20,1433,24 mins,18.1 mi
8/7/2023,1,13:25,1396,23 mins,18.1 mi
8/7/2023,1,13:30,1422,24 mins,18.1 mi
8/7/2023,1,13:35,1398,23 mins,18.1 mi
8/7/2023,1,13:40,1418,24 mins,18.1 mi
8/7/2023,1,13:45,1426,24 mins,18.1 mi
8/7/2023,1,13:50,1410,24 mins,18.1 mi
8/7/2023,1,13:55,1425,24 mins,18.1 mi
8/7/2023,1,14:00,1458,24 mins,18.1 mi
